month,qqq_sc,ivv_sc,iau_sc,p1_mode,p2_mode,gold_mode,eff_equity,gold_exp,cash_exp,monthly_ret,cum_ret,drawdown
2017-06-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.021293134685757553,8.720824853006402,0.0
2017-07-03,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.05484979754730035,8.385578778888657,-0.05137195478696559
2017-08-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.021662482226445512,8.939738737704634,-0.009778527505340012
2017-09-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.010794666330331104,9.11398343230179,0.0
2017-10-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.06171354787022221,9.232880291509618,0.0
2017-11-01,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.04373213019465627,9.7761797408691,0.0
2017-12-01,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.014925882853155992,10.134805518559867,-0.00765657293145477
2018-01-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.13647261406563804,10.345401609865009,-0.021890653524343145
2018-02-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.0540540016595652,11.652623515413813,-0.03200929770764208
2018-03-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.06643556108012338,10.816163410096644,-0.10149456029374325
2018-04-02,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,0.0023972186248237826,10.036256843157691,-0.16628188517856762
2018-05-01,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,0.06206504324896378,10.5185486080941,-0.12621760749611505
2018-06-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,0.012413484593710278,11.314975572637753,-0.06005792287973593
2018-07-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.05475588016910904,11.290933488361969,-0.06205511381376929
2018-08-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.08125122592460099,11.847254185332286,-0.03936171348611145
2018-09-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.0002522865851595224,12.762758997972748,-0.0047939863166951615
2018-10-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.11559336319934976,12.826030310658378,0.0
2018-11-01,1,0,0,cash,cash,cash,0.0,0.0,1.0,0.0018480488749832436,11.291710055640475,-0.11962549735617646
2018-12-03,0,2,0,cash,ivv_partial,cash,0.315,0.0,0.685,-0.026609847961112654,11.359464364024042,-0.1143429347282632
2019-01-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,0.004712929875401173,11.010559891143158,-0.1415457764828898
2019-02-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,0.0009806869420490028,11.061068816498674,-0.13760777508010635
2019-03-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.048596454403828204,11.196816117016953,-0.1270240405004778
2019-04-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.08386803832912548,11.866215557654229,-0.07483334513926318
2019-05-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.13279969484120968,12.456866424230176,-0.02878239622757079
2019-06-03,2,2,3,qqq_partial,ivv_partial,iau,0.63,0.1,0.27,0.05423545130774721,10.843514101230301,-0.15456974304673318
2019-07-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.030853588402695697,11.702852503051595,-0.08757018191929791
2019-08-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.031202579193391866,11.7377424597828,-0.08484993599081209
2019-09-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.017556616675333148,11.490391808780895,-0.10413498717273208
2019-10-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.059020507704557135,11.491970404492587,-0.10401190967537266
2019-11-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.06433360237143981,12.59347953625388,-0.018131157401931986
